City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
462,Mareeba,AU,81.0,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
471,Sainte-Suzanne,RE,75.2,light rain,-20.9061,55.6089,Gites Ango
472,Omboue,GA,77.45,overcast clouds,-1.5746,9.2618,Hotel Olako
475,Kutum,SD,76.86,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
482,Olinda,BR,78.8,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
485,Palu,ID,89.8,scattered clouds,-0.8917,119.8707,Hotel Santika Palu
486,Ambulu,ID,82.53,clear sky,-8.345,113.6058,Hotel Ambulu Jember
492,Guabito,PA,75.67,broken clouds,9.5,-82.6167,Cabinas Sanchez Salazar
494,Haimen,CN,78.8,scattered clouds,23.1935,116.6142,Jinghao Business Hotel
500,Umm Kaddadah,SD,77.74,scattered clouds,13.6017,26.6876,
505,Azamgarh,IN,89.26,few clouds,26.06,83.1861,Spring Hills
506,Am Timan,TD,83.62,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
514,Inirida,CO,76.3,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
518,Takoradi,GH,81.3,overcast clouds,4.8845,-1.7554,Raybow International Hotel
519,Benguela,AO,79.45,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
524,Annamalainagar,IN,83.89,overcast clouds,11.4,79.7333,Hotel Akshaya
529,Awbari,LY,77.25,clear sky,26.5921,12.7805,فندق أوباري
534,Palasa,IN,84.74,broken clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
538,Sorong,ID,83.61,broken clouds,-0.8833,131.25,waigo splash hotel
539,Cairns,AU,81.0,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
541,Makakilo City,US,82.4,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
544,Laguna De Perlas,NI,77.54,scattered clouds,12.3429,-83.6712,Hotel Best View
545,Djibo,BF,89.19,scattered clouds,14.1022,-1.6306,Centre Des Ressources DPENA
550,Yenangyaung,MM,88.7,clear sky,20.4667,94.8833,Hotel Country
551,Isangel,VU,86.0,broken clouds,-19.55,169.2667,Tanna Lodge
552,Adrar,MR,76.14,clear sky,20.5022,-10.0711,
558,Banjar,ID,84.2,few clouds,-8.19,114.9675,The Hamsa Resort
563,Sibolga,ID,80.71,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
565,Cap Malheureux,MU,75.99,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
568,Matara,LK,79.18,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
571,Ipixuna,BR,77.0,scattered clouds,-1.7625,-48.8043,Casa da Oscarina
572,Ayorou,NE,85.3,scattered clouds,14.7308,0.9174,Hotel Amenokal
574,Kapoeta,SS,77.14,broken clouds,4.7717,33.5903,Eastgate Hotel
577,Maragogi,BR,78.01,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
578,Yeppoon,AU,75.2,light rain,-23.1333,150.7333,Villa Mar Colina
586,Abilene,US,77.0,few clouds,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
591,Marawi,PH,84.99,overcast clouds,7.9986,124.2928,Derogongan Residence
592,Bonoua,CI,82.4,light rain,5.2741,-3.595,Hotel Bon Samaritian
593,Namibe,AO,77.22,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
601,Black River,JM,78.8,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
602,Bandarbeyla,SO,82.38,broken clouds,9.4942,50.8122,JABIR HOTEL
603,Monrovia,LR,79.99,broken clouds,6.3005,-10.7969,Sunset Inn
604,Raga,SS,76.75,broken clouds,8.4596,25.678,
609,Manado,ID,89.6,few clouds,1.4869999999999999,124.8455,Aryaduta Hotel
611,Zumarraga,PH,83.48,overcast clouds,11.6388,124.8417,Alegria
612,Kapit,MY,87.33,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
619,Collie,AU,75.11,overcast clouds,-33.3667,116.15,Collie Ridge
620,Mogadishu,SO,82.27,broken clouds,2.0371,45.3438,Hotel Juba
626,Correntina,BR,75.56,overcast clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
627,Guantanamo,CU,78.8,few clouds,20.1444,-75.2092,Hotel Guantánamo
628,Port-Gentil,GA,81.01,overcast clouds,-0.7193,8.7815,Fengshui Residence
638,Bocas Del Toro,PA,79.68,broken clouds,9.3333,-82.25,Hotel Bocas del Toro
644,Tiarei,PF,82.4,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
645,Auki,SB,84.25,scattered clouds,-8.7676,160.7034,Auki Motel
652,Casa Grande,US,80.6,clear sky,32.8795,-111.7573,Holiday Inn Casa Grande
655,Sampit,ID,87.46,clear sky,-2.5333,112.95,Aquarius Boutique Hotel Sampit
658,Mailani,IN,79.88,clear sky,28.2833,80.35,Vinay Misthan Bhandar
661,Singaparna,ID,79.02,clear sky,-7.3515,108.111,Wisma Dewi Hotel
662,Muscat,OM,86.0,clear sky,23.6139,58.5922,Mutrah Hotel
664,Malumfashi,NG,81.57,overcast clouds,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
667,Progreso,MX,87.8,clear sky,21.2833,-89.6667,Playa Linda Hotel
673,San Pedro,PH,89.01,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
674,Le Port,RE,75.2,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
688,Manama,BH,82.4,clear sky,26.2154,50.5832,Al Safir Hotel & Tower
691,Pundaguitan,PH,84.16,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
