City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
244,Springbok,-29.6643,17.8865,62.82,43,5,2.95,ZA,clear sky
245,Waipawa,-41.4122,175.5153,68.0,56,0,14.97,NZ,clear sky
246,Bam,29.106,58.357,77.72,14,0,7.4,IR,clear sky
247,Balaipungut,1.05,101.2833,75.2,88,40,2.06,ID,scattered clouds
248,Mnogovershinnyy,53.9353,139.9242,31.39,70,6,10.16,RU,clear sky
249,Narsaq,60.9167,-46.05,39.2,65,0,2.3,GL,clear sky
250,Hamilton,39.1834,-84.5333,54.0,62,90,3.44,US,overcast clouds
251,Hambantota,6.1241,81.1185,80.92,77,9,5.23,LK,clear sky
252,Oriximina,-1.7656,-55.8661,75.69,90,91,2.68,BR,overcast clouds
253,Surt,31.2089,16.5887,64.35,84,100,17.22,LY,overcast clouds
254,Kieta,-6.2167,155.6333,84.24,67,61,5.08,PG,broken clouds
255,Khatanga,71.9667,102.5,33.26,96,100,19.64,RU,overcast clouds
256,Komsomolskiy,40.4272,71.7189,53.6,50,100,4.61,UZ,overcast clouds
257,Jishou,28.3167,109.7167,60.85,93,100,9.93,CN,overcast clouds
258,Piacabucu,-10.4056,-36.4344,77.83,83,23,7.02,BR,few clouds
259,Labuhan,-6.8844,112.2051,82.31,70,2,4.99,ID,clear sky
260,Grootfontein,-19.5667,18.1167,44.6,87,0,3.44,NA,clear sky
261,Chimore,-16.9833,-65.1333,71.13,98,90,1.81,BO,overcast clouds
262,Moba,33.2288,105.0179,49.66,86,100,5.68,CN,overcast clouds
263,Doha,25.2867,51.5333,82.4,32,0,3.44,QA,clear sky
264,Lahij,13.1667,44.5833,71.29,85,3,4.81,YE,clear sky
265,Port Hedland,-20.3167,118.5667,91.4,15,0,19.57,AU,clear sky
266,Aklavik,68.2191,-135.0107,37.4,48,20,6.91,CA,few clouds
267,Naze,28.3667,129.4833,69.8,68,75,28.77,JP,broken clouds
268,Kingston,17.997,-76.7936,78.8,83,20,3.44,JM,few clouds
269,Doka,13.5167,35.7667,83.34,38,70,6.15,SD,broken clouds
270,Saint George,37.1041,-113.5841,77.0,10,1,11.5,US,clear sky
271,Paamiut,61.994,-49.6678,32.11,77,2,4.52,GL,clear sky
272,Waiouru,-39.4833,175.6667,53.42,73,79,7.0,NZ,broken clouds
273,Baependi,-21.9589,-44.89,55.89,86,6,3.96,BR,clear sky
274,Sassandra,4.95,-6.0833,79.12,88,100,6.04,CI,light rain
275,Hervey Bay,-25.2986,152.8535,77.0,56,14,4.0,AU,few clouds
276,Aykhal,66.0,111.5,33.26,91,23,8.61,RU,few clouds
277,Lisakovsk,52.5369,62.4936,45.32,53,100,14.09,KZ,overcast clouds
278,Merauke,-8.4667,140.3333,84.4,74,42,3.71,ID,scattered clouds
279,Neiafu,-18.65,-173.9833,82.4,78,75,8.05,TO,broken clouds
280,Suslovo,56.2167,88.1167,35.67,76,100,8.99,RU,overcast clouds
281,Asyut,27.181,31.1837,64.4,55,0,10.36,EG,clear sky
282,Dumitra,47.2167,24.4833,33.6,89,86,1.59,RO,overcast clouds
283,Fukue,32.6881,128.8419,62.6,94,75,10.36,JP,broken clouds
284,Ninghai,29.2892,121.4247,70.0,78,75,4.47,CN,broken clouds
285,Yangjiang,21.85,111.9667,88.0,57,13,10.51,CN,few clouds
286,Starobaltachevo,56.0013,55.9213,42.64,95,100,6.06,RU,light rain
287,Oudtshoorn,-33.5907,22.2014,53.6,100,0,5.75,ZA,clear sky
288,Rawlins,41.7911,-107.2387,43.0,49,90,13.8,US,overcast clouds
289,Kisangani,0.5167,25.2,69.55,99,92,2.48,CD,overcast clouds
290,Salalah,17.0151,54.0924,82.4,74,40,2.3,OM,scattered clouds
291,Tanout,14.9709,8.8879,83.97,12,75,9.1,NE,broken clouds
292,Aksarka,66.5606,67.7975,31.51,97,42,8.32,RU,scattered clouds
293,Bardiyah,31.7561,25.0865,61.92,62,3,10.38,LY,clear sky
294,Lungesti,44.5667,24.1833,45.0,87,0,3.44,RO,clear sky
295,Gazanjyk,39.2446,55.5154,58.14,73,40,10.11,TM,scattered clouds
296,Santa Isabel Do Rio Negro,-0.4139,-65.0192,74.41,96,73,2.51,BR,broken clouds
297,Bengkulu,-3.8004,102.2655,80.22,73,100,2.15,ID,overcast clouds
298,Homer,59.6425,-151.5483,46.99,76,40,9.22,US,scattered clouds
299,Reconquista,-29.15,-59.65,66.16,94,100,4.83,AR,overcast clouds
300,Biltine,14.5333,20.9167,84.63,13,97,9.31,TD,overcast clouds
301,Carutapera,-1.195,-46.02,75.78,94,100,5.64,BR,overcast clouds
302,Moose Factory,51.2585,-80.6094,32.0,86,75,16.11,CA,broken clouds
303,Tiznit,29.5833,-9.5,59.14,83,100,6.8,MA,overcast clouds
304,Haines Junction,60.7522,-137.5108,51.8,22,15,2.3,CA,few clouds
305,Morondava,-20.2833,44.2833,74.3,79,0,6.17,MG,clear sky
306,Sibu,2.3,111.8167,86.0,74,20,3.44,MY,few clouds
307,Porto Walter,-8.2686,-72.7439,72.81,97,57,2.48,BR,broken clouds
308,Akdepe,42.0551,59.3788,60.8,51,0,16.11,TM,clear sky
309,Waingapu,-9.6567,120.2641,83.39,71,0,8.86,ID,clear sky
310,Kachiry,53.0675,76.1036,39.27,59,2,5.97,KZ,clear sky
311,Pangnirtung,66.1451,-65.7125,31.71,88,100,6.42,CA,overcast clouds
312,Wairoa,-39.0333,177.3667,71.01,60,0,4.0,NZ,clear sky
313,Fort Nelson,58.8053,-122.7002,37.4,35,40,8.05,CA,scattered clouds
314,Lufilufi,-13.8745,-171.5986,91.4,75,75,5.75,WS,light rain
315,Hualmay,-11.0964,-77.6139,66.85,88,10,7.9,PE,clear sky
316,Touros,-5.1989,-35.4608,77.0,94,40,4.61,BR,scattered clouds
317,Ixtapa,20.7,-105.2,78.8,69,20,8.05,MX,few clouds
318,Kota Belud,6.351,116.4305,87.8,70,20,3.44,MY,few clouds
319,Matca,45.85,27.5333,40.37,88,38,6.26,RO,scattered clouds
320,Chernyshevskiy,63.0128,112.4714,31.8,86,100,9.48,RU,overcast clouds
321,Norman Wells,65.282,-126.8329,33.8,44,75,9.22,CA,broken clouds
322,Biak,-0.9131,122.8766,80.26,77,90,3.31,ID,overcast clouds
323,Jalu,29.0331,21.5482,73.33,17,92,15.21,LY,overcast clouds
324,Porto Novo,6.4965,2.6036,82.4,89,40,17.27,BJ,scattered clouds
325,Lusambo,-4.9667,23.45,68.59,99,99,1.59,CD,overcast clouds
326,Oloron-Sainte-Marie,43.1944,-0.6107,51.8,71,0,2.3,FR,clear sky
